,Date,User,Tweet
86,2022-12-15 08:51:17+00:00,Pinusidotcom,Kronologi Kasus Pelecehan Seksual di Universitas Gunadarma yang Berakhir Damai! https://t.co/73dUO36HCe
87,2022-12-15 08:03:44+00:00,tempodotco,"Viral pelaku pelecehan seksual di Universitas Gunadarma dicekoki air kencing, inilah dampaknya bagi tubuh. https://t.co/XgyZNhEBqT"
88,2022-12-15 07:35:39+00:00,jpnncom,"#BeritaJabar
Penjelasan Warek 3 Universitas Gunadarma Ihwal Kasus Dugaan Pelecehan Seksual dan Persekusi, Lengkap
#pelecehanseksual 
#universitasgunadarma 
https://t.co/FV8ucAJ04Y"
89,2022-12-15 07:35:15+00:00,Zyanpatra,"Penjelasan Warek 3 Universitas Gunadarma Ihwal Kasus Dugaan Pelecehan Seksual dan Persekusi, Lengkap! https://t.co/P5Ejfq4qXe"
90,2022-12-15 07:35:03+00:00,jpnncom,"Penjelasan Warek 3 Universitas Gunadarma Ihwal Kasus Dugaan Pelecehan Seksual dan Persekusi, Lengkap! #universitasgunadarma https://t.co/FV8ucB19j6"
91,2022-12-15 06:55:39+00:00,_netizenwatch,"Kasus pelecehan seksual dan persekusi terjadi di Universitas Gunadarma, Kota Depok. 

Dua peristiwa tidak terpuji ini akhirnya viral di media sosial.
https://t.co/3XBtn5zVxF"
92,2022-12-15 06:49:01+00:00,tempodotco,"Pelaku Pelecehan Seksual di Universitas Gunadarma Diduga Dicekoki Air Kencing, Apa Dampaknya bagi Tubuh? https://t.co/zKK5rtxv4J #TempoGaya"
93,2022-12-15 04:59:44+00:00,tempodotco,"Viral pelaku pelecehan seksual di Universitas Gunadarma yang dapat persekusi, hati-hati tindak pidana main hakim sendiri. #TempoNasional https://t.co/hYNP3jm1ob"
94,2022-12-15 03:50:03+00:00,magdaleneid,"Pelaku pelecehan seksual yang dipersekusi di Universitas Gunadarma ramai diperbincangkan di media sosial.

Penanganan kasus kekerasan seksual dengan jalan kekerasan memang bukan penyelesain terbaik dan mengabaikan penanganan yang mengutamakan kebutuhan korban.

Kenapa begitu? https://t.co/l6sEfKxe5X"
95,2022-12-15 03:44:48+00:00,ruangprojectmed,"Dua mahasiswa Universitas Gunadarma diduga jadi pelaku pelecehan seksual. Korbannya adalah tiga adik kelas mereka di kampus.

#RuangProjectMedia #CreativeCulture #PelecehanSeksual #Gunadarma #Mahasiswa https://t.co/mOuMSfI3K1"
96,2022-12-15 02:36:00+00:00,RADARSOLO_,"Pihak Universitas Gunadarma terus menindaklanjuti aksi pelecehan seksual dengan pelaku dan korbannya yang merupakan mahasiswa di kampus setempat. 
#kampus #gunadarma #mahasiswa #pelecehanseksual 
https://t.co/uiCDAdwLt7"
97,2022-12-15 00:31:54+00:00,Bytrendzid,"Tindak persekusi yang diberikan kepada pelaku dugaan tindak pelecehan seksual di Universitas Gunadarma dinilai warganet sudah tepat #bytrendz #gundar #mahasiswa #gunadarma #universitasgunadarma #pelecehan #berita #BeritaTerkini #BreakingNews 

https://t.co/sTucemLjuD"
98,2022-12-14 23:26:03+00:00,tempodotco,"Pelecehan Seksual di Universitas Gunadarma, Komnas Perempuan : Tak Bisa Diselesaikan Secara Kekeluargaan https://t.co/xmtnXnUZ0f #TempoMetro"
99,2022-12-14 21:25:35+00:00,liputan6dotcom,KemenPPPA dan KSP Soroti Kasus Pelecehan Seksual dan Persekusi di Universitas Gunadarma https://t.co/wOqvTM0wSP
100,2022-12-14 16:34:10+00:00,radamuhucom,Kemendikbud: Mahasiswa Pelaku Pelecehan Seksual dan Pelaku Main Hakim Sendiri di Universitas Gunadarma sudah Ditindak #Viral https://t.co/nkIvwyBq3h
101,2022-12-14 14:43:34+00:00,merdekadotcom,Kemen PPPA Pastikan Dampingi Korban Pelecehan Seksual di Universitas Gunadarma https://t.co/q4odv8dMbV
102,2022-12-14 13:26:05+00:00,HopsIndonesia,Begini jawaban pihak kampus soal dugaan pelecehan seksual mahasiswa dan persekusi di Universitas Gunadarma https://t.co/j8QdMhiOCT
103,2022-12-14 13:24:38+00:00,liputan6dotcom,Universitas Gunadarma Ancam Drop Out Kedua Pelaku Pelecehan Seksual Jika Terbukti Bersalah https://t.co/WMurYkGbDs
104,2022-12-14 12:52:56+00:00,bingkainasional,"Buntut Melecehkan Pelaku Pelecehan Seksual di Universitas Gunadarma, Pelaku Persekusi Akan Dipolisikan https://t.co/SUHT5SWGrr"
105,2022-12-14 12:45:50+00:00,kumparan,Dua mahasiswa Universitas Gunadarma diduga jadi pelaku pelecehan seksual. Korbannya adalah tiga adik kelas mereka di kampus. #newsupdate #14des22 #news #videonews https://t.co/CxlfvetnVs https://t.co/mDxPCi0EBY
106,2022-12-14 12:27:28+00:00,radamuhucom,"Pelaku pelecehan seksual diamuk mahasiswa Gundar.

Viral Masiswa Pelaku dan Korban Pelecehan Seksual di Universitas Gunadarma Depok, Polisi: Selesai Secara Kekeluargaan #Viral  https://t.co/NxffA5nkGv"
